,Epoch,Iteration,Accuracy,Top3,Prediction,Target
0,0,60.0,0.25,0.625,[2 0 3 3 2 0 6 1],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,61.0,0.125,0.375,[8 8 6 1 2 5 1 6],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,62.0,0.0,0.375,[7 4 1 6 9 1 8 5],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,63.0,0.25,0.75,[2 1 1 6 9 3 6 9],"tensor([2, 2, 2, 2, 2, 2, 2, 9])"
0,0,64.0,0.0,0.375,[8 8 5 2 9 3 0 1],"tensor([3, 6, 6, 6, 6, 6, 6, 6])"
0,0,65.0,0.5,0.75,[5 9 2 5 1 2 3 3],"tensor([5, 9, 2, 2, 2, 2, 2, 2])"
0,0,66.0,0.25,0.375,[8 8 6 1 2 2 6 8],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,67.0,0.0,0.25,[3 7 9 4 0 1 5 5],"tensor([2, 2, 2, 9, 2, 2, 2, 2])"
0,0,68.0,0.125,0.375,[8 1 8 5 1 6 5 9],"tensor([2, 2, 2, 2, 2, 2, 2, 9])"
0,0,69.0,0.0,0.375,[5 3 0 4 7 0 8 3],"tensor([2, 9, 6, 2, 9, 5, 2, 2])"
0,0,70.0,0.25,0.75,[1 0 5 5 8 9 5 9],"tensor([5, 5, 9, 2, 5, 9, 6, 9])"
0,0,71.0,0.25,0.625,[9 7 8 6 7 1 6 2],"tensor([9, 9, 8, 8, 9, 8, 2, 3])"
0,0,72.0,0.125,0.875,[0 7 1 0 7 6 4 0],"tensor([5, 2, 8, 2, 7, 8, 9, 2])"
0,0,73.0,0.0,0.25,[1 8 8 8 1 8 7 3],"tensor([8, 2, 2, 2, 2, 2, 2, 2])"
0,0,74.0,0.125,0.25,[3 7 1 9 1 0 8 1],"tensor([7, 7, 7, 7, 7, 7, 7, 7])"
0,0,75.0,0.0,0.375,[7 7 7 1 9 6 9 8],"tensor([3, 3, 3, 8, 3, 3, 3, 3])"
0,0,76.0,0.25,0.5,[7 2 7 3 3 2 2 4],"tensor([7, 7, 0, 7, 7, 7, 7, 4])"
0,0,77.0,0.0,0.5,[6 0 1 8 2 9 1 6],"tensor([8, 7, 8, 7, 0, 8, 8, 7])"
0,0,78.0,0.25,0.75,[0 8 0 0 3 5 4 7],"tensor([5, 8, 8, 8, 3, 8, 9, 9])"
0,0,79.0,0.125,0.5,[0 2 6 7 9 9 5 1],"tensor([8, 2, 2, 3, 2, 2, 2, 8])"
0,0,80.0,0.25,0.5,[2 9 2 5 3 1 0 4],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,81.0,0.125,0.375,[2 8 3 7 9 9 4 0],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,82.0,0.25,0.5,[3 1 2 7 9 1 0 0],"tensor([2, 8, 2, 7, 2, 2, 2, 5])"
0,0,83.0,0.375,0.875,[8 2 6 2 8 5 2 3],"tensor([5, 5, 2, 2, 8, 5, 6, 5])"
0,0,84.0,0.25,0.5,[4 3 4 8 3 3 8 1],"tensor([4, 6, 4, 6, 5, 8, 2, 8])"
0,0,85.0,0.375,0.875,[4 7 9 5 2 8 2 1],"tensor([8, 7, 9, 5, 4, 5, 4, 4])"
0,0,86.0,0.0,0.25,[5 7 7 4 3 8 0 4],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,87.0,0.0,0.375,[8 6 5 1 1 1 8 8],"tensor([5, 4, 4, 4, 4, 4, 4, 5])"
0,0,88.0,0.375,0.75,[9 5 8 8 7 4 8 3],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,89.0,0.5,0.625,[9 5 8 8 8 2 9 5],"tensor([8, 5, 8, 2, 8, 2, 2, 2])"
0,0,90.0,0.0,0.25,[3 5 8 4 0 4 3 7],"tensor([5, 2, 2, 2, 2, 2, 2, 2])"
0,0,91.0,0.0,0.25,[4 9 4 5 2 9 2 5],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,92.0,0.0,0.5,[2 1 8 2 6 3 1 0],"tensor([5, 5, 5, 5, 5, 5, 8, 5])"
0,0,93.0,0.125,0.375,[4 8 9 1 3 6 9 4],"tensor([8, 8, 8, 8, 8, 2, 8, 9])"
0,0,94.0,0.375,0.625,[2 6 5 0 2 9 8 0],"tensor([5, 4, 5, 8, 5, 8, 8, 0])"
0,0,95.0,0.25,0.5,[6 4 5 2 9 9 1 1],"tensor([2, 8, 5, 2, 2, 8, 2, 2])"
0,0,96.0,0.125,0.375,[4 5 0 5 7 6 1 4],"tensor([2, 2, 2, 2, 7, 2, 2, 2])"
0,0,97.0,0.0,0.375,[3 5 2 4 5 3 9 1],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,98.0,0.0,0.5,[4 2 0 3 1 5 6 8],"tensor([2, 5, 2, 5, 2, 2, 2, 5])"
0,0,99.0,0.25,0.75,[0 1 2 4 2 4 1 0],"tensor([2, 2, 5, 8, 2, 4, 6, 6])"
0,0,100.0,0.0,0.5,[1 0 3 0 3 1 3 9],"tensor([8, 2, 5, 5, 5, 8, 5, 4])"
0,0,101.0,0.125,0.75,[1 0 8 9 0 7 4 4],"tensor([8, 2, 2, 8, 8, 7, 8, 8])"
0,0,102.0,0.5,0.75,[7 5 4 7 0 9 7 3],"tensor([3, 8, 4, 7, 2, 4, 7, 3])"
0,0,103.0,0.125,0.375,[5 1 3 3 1 6 8 4],"tensor([0, 8, 3, 5, 8, 3, 3, 3])"
0,0,104.0,0.125,0.25,[4 3 9 8 7 5 1 6],"tensor([3, 3, 3, 3, 3, 3, 3, 3])"
0,0,105.0,0.125,0.25,[0 9 7 4 2 6 7 3],"tensor([3, 3, 3, 3, 3, 3, 3, 3])"
0,0,106.0,0.125,0.25,[9 4 5 1 8 7 5 4],"tensor([3, 3, 3, 8, 3, 7, 3, 3])"
0,0,107.0,0.0,0.25,[7 8 7 2 2 8 1 1],"tensor([9, 5, 6, 4, 6, 3, 8, 8])"
0,0,108.0,0.25,0.375,[2 9 8 5 7 1 2 8],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,109.0,0.125,0.5,[8 0 9 1 9 4 2 0],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,110.0,0.25,0.5,[3 7 4 4 7 5 5 6],"tensor([8, 7, 4, 8, 8, 8, 8, 8])"
0,0,111.0,0.25,0.375,[9 9 6 9 9 2 2 2],"tensor([8, 8, 8, 8, 8, 8, 2, 2])"
0,0,112.0,0.125,0.25,[7 4 7 4 9 9 2 6],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,113.0,0.0,0.25,[8 8 1 5 4 5 8 0],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,114.0,0.125,0.125,[9 7 3 2 4 8 8 0],"tensor([2, 2, 5, 2, 2, 2, 2, 5])"
0,0,115.0,0.5,0.625,[1 3 7 2 2 9 2 2],"tensor([1, 2, 2, 1, 2, 2, 2, 2])"
0,0,116.0,0.625,0.625,[2 3 6 5 5 1 3 0],"tensor([2, 5, 2, 5, 5, 1, 5, 0])"
0,0,117.0,0.25,0.75,[7 4 7 4 2 0 4 1],"tensor([7, 8, 3, 8, 4, 2, 9, 1])"
0,0,118.0,0.25,0.5,[6 3 1 8 6 1 3 3],"tensor([1, 6, 1, 5, 2, 1, 5, 5])"
0,0,119.0,0.125,0.375,[6 9 5 2 6 5 3 6],"tensor([2, 3, 8, 4, 6, 4, 5, 1])"
0,0,120.0,0.375,0.625,[7 2 6 2 9 1 3 9],"tensor([7, 3, 1, 3, 3, 1, 3, 3])"
0,0,121.0,0.125,0.125,[9 5 9 6 7 3 0 8],"tensor([3, 3, 3, 3, 3, 3, 3, 3])"
0,0,122.0,0.375,0.5,[2 3 5 4 3 8 4 9],"tensor([3, 3, 3, 3, 3, 3, 4, 3])"
0,0,123.0,0.125,0.5,[6 7 9 2 5 1 9 2],"tensor([3, 3, 3, 3, 3, 6, 9, 3])"
0,0,124.0,0.375,0.625,[7 9 2 5 7 4 7 3],"tensor([3, 9, 3, 3, 7, 3, 3, 3])"
0,0,125.0,0.25,0.375,[5 5 0 5 7 2 6 1],"tensor([3, 3, 8, 3, 7, 3, 3, 1])"
0,0,126.0,0.375,0.375,[8 4 1 3 9 8 1 6],"tensor([5, 8, 1, 5, 9, 3, 1, 8])"
0,0,127.0,0.5,0.5,[7 1 7 3 9 1 9 6],"tensor([2, 1, 9, 5, 9, 1, 9, 3])"
0,0,128.0,0.25,0.5,[3 7 3 9 8 0 6 1],"tensor([5, 7, 5, 3, 1, 5, 1, 1])"
0,0,129.0,0.5,1.0,[1 0 2 3 7 3 7 2],"tensor([1, 5, 2, 7, 7, 7, 7, 7])"
0,0,130.0,0.125,0.375,[3 2 3 4 7 6 9 0],"tensor([7, 7, 7, 7, 7, 7, 7, 7])"
0,0,131.0,0.25,0.625,[5 7 3 7 6 9 3 2],"tensor([7, 7, 7, 7, 7, 7, 7, 7])"
0,0,132.0,0.125,0.375,[3 9 7 0 1 9 0 5],"tensor([7, 7, 7, 7, 7, 7, 7, 3])"
0,0,133.0,0.125,0.375,[2 1 3 5 7 0 3 6],"tensor([5, 5, 5, 5, 5, 5, 5, 5])"
0,0,134.0,0.375,0.625,[5 5 0 5 8 2 8 3],"tensor([5, 5, 5, 5, 5, 5, 5, 5])"
0,0,135.0,0.125,0.375,[6 9 4 6 8 3 1 3],"tensor([5, 5, 5, 5, 5, 5, 1, 5])"
0,0,136.0,0.125,0.125,[4 6 5 6 1 9 8 6],"tensor([3, 3, 3, 1, 1, 3, 3, 3])"
0,0,137.0,0.125,0.375,[4 4 7 6 1 2 7 0],"tensor([8, 5, 9, 5, 1, 4, 5, 3])"
0,0,138.0,0.125,0.5,[2 2 2 3 0 6 8 7],"tensor([5, 2, 5, 2, 2, 2, 2, 2])"
0,0,139.0,0.0,0.5,[9 8 3 1 2 1 3 2],"tensor([7, 7, 7, 7, 7, 7, 7, 7])"
0,0,140.0,0.125,0.375,[5 2 6 8 4 7 9 1],"tensor([3, 3, 3, 3, 3, 7, 3, 6])"
0,0,141.0,0.125,0.625,[2 6 2 5 4 3 1 7],"tensor([8, 8, 8, 8, 8, 8, 1, 3])"
0,0,142.0,0.25,0.375,[1 5 0 2 5 9 1 1],"tensor([6, 2, 2, 2, 2, 2, 6, 1])"
0,0,143.0,0.125,0.25,[8 3 5 2 0 8 6 6],"tensor([2, 3, 2, 3, 3, 3, 3, 3])"
0,0,144.0,0.0,0.25,[3 8 8 6 4 4 3 0],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,145.0,0.25,0.5,[5 6 5 2 7 5 2 6],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,146.0,0.125,0.875,[7 6 2 2 0 0 2 2],"tensor([6, 6, 6, 6, 6, 2, 6, 6])"
0,0,147.0,0.125,0.5,[5 1 7 0 0 2 8 7],"tensor([6, 6, 7, 5, 2, 6, 5, 3])"
0,0,148.0,0.375,0.5,[4 1 4 8 7 6 4 4],"tensor([8, 1, 9, 5, 9, 6, 4, 8])"
0,0,149.0,0.375,0.5,[5 6 1 5 1 8 0 3],"tensor([2, 6, 1, 2, 1, 5, 7, 1])"
0,0,150.0,0.5,0.625,[7 9 9 1 5 8 4 4],"tensor([7, 9, 3, 1, 8, 0, 4, 9])"
0,0,151.0,0.25,0.5,[1 5 8 3 3 4 8 0],"tensor([1, 8, 6, 8, 5, 4, 3, 6])"
0,0,152.0,0.5,0.75,[8 1 9 9 6 4 0 2],"tensor([6, 1, 9, 9, 1, 4, 8, 6])"
0,0,153.0,0.5,0.5,[3 0 1 8 0 1 1 1],"tensor([5, 8, 1, 1, 5, 1, 1, 1])"
0,0,154.0,0.375,0.625,[3 7 3 6 8 1 6 3],"tensor([8, 3, 8, 6, 5, 0, 6, 3])"
0,0,155.0,0.75,0.75,[2 7 1 5 4 1 5 6],"tensor([2, 7, 1, 8, 4, 1, 2, 6])"
0,0,156.0,0.375,0.5,[7 2 0 5 4 8 1 5],"tensor([7, 2, 8, 8, 2, 2, 1, 2])"
0,0,157.0,0.25,0.5,[3 9 3 8 8 6 4 2],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,158.0,0.0,0.5,[4 5 0 4 2 5 6 2],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,159.0,0.125,0.5,[5 8 1 9 6 4 4 3],"tensor([2, 2, 1, 2, 2, 2, 9, 2])"
0,0,160.0,0.25,0.875,[2 2 6 8 2 2 8 5],"tensor([8, 8, 8, 8, 9, 4, 8, 8])"
0,0,161.0,0.5,0.75,[2 6 1 6 6 8 2 1],"tensor([8, 8, 1, 8, 8, 8, 2, 1])"
0,0,162.0,0.25,0.875,[3 7 6 0 3 2 3 1],"tensor([1, 3, 8, 8, 8, 3, 3, 1])"
0,0,163.0,0.25,0.625,[8 0 8 7 0 9 5 4],"tensor([6, 8, 1, 7, 8, 9, 6, 9])"
0,0,164.0,0.25,0.625,[3 2 9 2 2 2 6 3],"tensor([8, 4, 9, 2, 8, 8, 8, 8])"
0,0,165.0,0.125,0.375,[9 8 9 8 6 2 1 0],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,166.0,0.125,0.25,[7 7 2 1 0 0 3 9],"tensor([6, 6, 6, 1, 6, 6, 6, 6])"
0,0,167.0,0.125,0.375,[6 9 9 1 5 9 0 0],"tensor([2, 2, 2, 1, 2, 2, 2, 2])"
0,0,168.0,0.125,0.375,[5 9 3 5 6 3 7 0],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,169.0,0.375,0.5,[6 5 1 0 7 1 1 5],"tensor([6, 6, 1, 6, 9, 1, 6, 6])"
0,0,170.0,0.25,0.75,[1 7 3 2 3 5 7 3],"tensor([1, 7, 6, 6, 9, 3, 3, 0])"
0,0,171.0,0.25,0.5,[1 9 1 9 4 4 2 2],"tensor([1, 2, 2, 2, 2, 2, 4, 2])"
0,0,172.0,0.125,0.375,[3 2 8 3 6 0 9 8],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,173.0,0.125,0.125,[9 9 1 7 8 9 9 4],"tensor([2, 2, 1, 2, 2, 2, 2, 2])"
0,0,174.0,0.125,0.5,[4 8 5 7 8 0 6 7],"tensor([2, 2, 2, 7, 2, 3, 2, 9])"
0,0,175.0,0.375,0.75,[7 9 1 6 3 3 6 3],"tensor([8, 8, 1, 6, 8, 8, 6, 8])"
0,0,176.0,0.375,0.625,[4 3 7 7 3 6 3 6],"tensor([4, 8, 7, 3, 8, 6, 2, 2])"
0,0,177.0,0.125,0.25,[1 7 2 6 4 4 8 4],"tensor([1, 3, 3, 3, 3, 3, 3, 3])"
0,0,178.0,0.25,0.25,[6 3 8 0 3 1 4 7],"tensor([6, 6, 6, 6, 6, 1, 6, 6])"
0,0,179.0,0.375,0.5,[4 2 6 7 8 7 0 6],"tensor([6, 2, 6, 9, 6, 6, 6, 6])"
0,0,180.0,0.0,0.375,[3 3 7 9 9 0 0 7],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,181.0,0.25,0.375,[2 2 8 7 8 5 1 8],"tensor([6, 6, 6, 9, 6, 2, 1, 8])"
0,0,182.0,0.375,0.625,[4 9 2 8 0 8 1 7],"tensor([4, 8, 8, 8, 2, 6, 1, 9])"
0,0,183.0,0.125,0.375,[9 5 1 2 7 3 5 4],"tensor([8, 8, 1, 8, 8, 8, 8, 8])"
0,0,184.0,0.125,0.375,[9 0 0 8 3 0 4 8],"tensor([4, 4, 4, 4, 4, 4, 4, 4])"
0,0,185.0,0.375,0.75,[2 1 7 4 4 9 3 2],"tensor([3, 1, 7, 3, 3, 3, 3, 3])"
0,0,186.0,0.375,0.625,[1 0 8 1 0 7 0 2],"tensor([1, 3, 8, 1, 2, 9, 3, 3])"
0,0,187.0,0.25,0.375,[9 7 4 8 4 6 7 1],"tensor([3, 7, 9, 3, 8, 8, 8, 1])"
0,0,188.0,0.375,0.625,[2 8 1 9 2 4 2 9],"tensor([3, 1, 1, 8, 3, 8, 2, 9])"
0,0,189.0,0.75,0.875,[8 1 4 8 4 5 7 2],"tensor([8, 1, 4, 8, 4, 8, 7, 4])"
0,0,190.0,0.25,0.5,[8 1 5 5 9 1 0 0],"tensor([8, 8, 8, 6, 8, 1, 2, 6])"
0,0,191.0,0.5,0.625,[4 3 9 2 8 7 9 4],"tensor([4, 8, 3, 8, 8, 8, 9, 4])"
0,0,192.0,0.125,0.375,[8 5 5 8 3 4 0 5],"tensor([3, 6, 3, 3, 3, 9, 3, 3])"
0,0,193.0,0.25,0.5,[6 2 9 2 9 8 1 0],"tensor([0, 6, 0, 0, 0, 0, 1, 0])"
0,0,194.0,0.0,0.125,[6 0 4 3 8 3 6 9],"tensor([0, 8, 0, 0, 0, 0, 0, 0])"
0,0,195.0,0.375,0.5,[1 9 9 6 0 2 0 0],"tensor([1, 0, 0, 8, 6, 6, 0, 0])"
0,0,196.0,0.25,0.375,[7 3 8 1 5 6 2 3],"tensor([3, 6, 1, 1, 8, 5, 2, 6])"
0,0,197.0,0.125,0.75,[4 6 7 3 8 3 0 0],"tensor([6, 5, 4, 6, 6, 6, 6, 0])"
0,0,198.0,0.25,0.5,[9 7 4 3 1 3 2 2],"tensor([3, 9, 4, 9, 1, 6, 8, 6])"
0,0,199.0,0.25,0.25,[1 5 3 7 1 8 9 5],"tensor([1, 2, 0, 2, 1, 2, 2, 2])"
0,0,200.0,0.0,0.5,[3 4 5 0 2 4 2 3],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,201.0,0.0,0.5,[1 0 7 6 3 1 0 6],"tensor([5, 5, 5, 5, 5, 5, 5, 5])"
0,0,202.0,0.125,0.375,[8 9 9 9 0 9 2 1],"tensor([3, 3, 3, 3, 3, 3, 3, 1])"
0,0,203.0,0.5,0.75,[0 0 3 8 7 0 0 3],"tensor([0, 0, 0, 8, 3, 0, 6, 6])"
0,0,204.0,0.25,0.5,[9 7 0 9 9 2 0 9],"tensor([4, 7, 2, 3, 3, 2, 6, 4])"
0,0,205.0,0.75,0.875,[4 4 3 6 8 7 4 6],"tensor([4, 4, 0, 6, 8, 7, 8, 6])"
0,0,206.0,0.25,0.5,[5 6 3 6 2 8 1 3],"tensor([6, 2, 6, 8, 2, 3, 1, 6])"
0,0,207.0,0.5,0.875,[1 8 3 3 7 4 6 1],"tensor([1, 6, 6, 1, 7, 4, 8, 1])"
0,0,208.0,0.75,0.875,[8 3 2 0 1 7 8 7],"tensor([8, 6, 2, 0, 1, 8, 8, 7])"
0,0,209.0,0.25,0.5,[4 7 1 7 3 4 7 2],"tensor([4, 3, 6, 9, 6, 9, 9, 2])"
0,0,210.0,0.0,0.125,[6 5 2 0 8 8 4 5],"tensor([8, 3, 3, 3, 3, 3, 3, 3])"
0,0,211.0,0.125,0.5,[5 4 1 1 2 1 5 7],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,212.0,0.0,0.0,[7 5 6 6 7 7 7 7],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,213.0,0.0,0.625,[7 0 7 3 3 2 4 4],"tensor([5, 5, 5, 5, 5, 5, 5, 9])"
0,0,214.0,0.25,0.5,[1 7 2 0 6 6 0 8],"tensor([1, 3, 2, 2, 2, 2, 2, 2])"
0,0,215.0,0.25,0.5,[6 8 5 0 1 0 3 3],"tensor([0, 0, 0, 0, 0, 0, 0, 0])"
0,0,216.0,0.125,0.25,[1 7 7 9 2 5 8 6],"tensor([1, 3, 9, 0, 0, 0, 0, 2])"
0,0,217.0,0.25,0.5,[8 4 9 4 9 4 8 9],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,218.0,0.375,0.75,[9 8 2 4 1 0 0 5],"tensor([8, 8, 2, 8, 1, 2, 2, 8])"
0,0,219.0,0.375,0.5,[8 7 5 4 2 5 0 1],"tensor([8, 9, 8, 8, 8, 6, 0, 1])"
0,0,220.0,0.25,0.5,[1 0 2 3 4 6 6 6],"tensor([1, 2, 2, 2, 2, 2, 2, 2])"
0,0,221.0,0.25,0.375,[7 4 4 2 6 2 6 0],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
